token,count,example
xenotechnologies,1,"""You forgot to add I was also using the xenotechnologies that are banned in the Imperium and sold them to my associates all over the Expanse."""
oath-breaking,1,"""...And here comes our principal witness, the Rogue Trader himself."" Heinrix gives you a cold look. ""If the presented evidence was not enough to convince you, h"
bull-headed,1,"""Bull-headed stubbornness does not befit a man of your pedigree, Rogue Trader. But since you have decided to deny everything, I will summon another witness. I a"
corpse-filled,1,"The Inquisitor's harsh and cruel laughter echoes across the corpse-filled bridge. ""It looks like your plaything is refusing to dance to your tune. It is patheti"
thyllian,1,"Muffled clapping tears you from the vice of agony. The Drukhari in the centre of the chamber observes you coldly from under the golden mask, causing your inside"
ai-kelethril,1,"Muffled clapping tears you from the vice of agony. The Drukhari in the centre of the chamber observes you coldly from under the golden mask, causing your inside"
vice-like,1,"The words almost fly from your lips when a sharp pain seizes your head in a vice-like grip. Blood and nausea roil inside your throat, and the world starts swayi"
holo-suit,1,"The bright motley, the holo-suit, the mask hiding its owner's face, and the graceful, subtle movements... Before you stands a Harlequin, another representative "
sharp-toothed,1,"One half of his face is hidden behind a golden mask with an intimidating visage, the other half is showing a malicious, sharp-toothed leer. The xenos's elaborat"
redbeard,1,"""Stand aside, redbeard, while I cut off the Rogue Trader's head. Wouldn't want to kill my first Emperor's Angel in a hurry."" The woman reciprocates with an equa"
midship,1,"The Factotum coughs. ""Minor damage to the outer plating in the midship hull and negligible personnel losses as a result of offensive action by enemy boarding pa"
hollow-cheeked,1,"Calligos Winterscale has grown hollow-cheeked and pale. Instead of the graceful movements of a fierce predator, he now lurches like a lame bird. The augmetics i"
light-footed,1,"Calligos Winterscale has grown hollow-cheeked and pale. Instead of the graceful movements of a fierce predator, he now lurches like a lame bird. The augmetics i"
animalistic,1,"With an animalistic howl, Calligos raises his weapon over his head. ""Whoever stands in our way, they shall bleed!"""
tried-and-true,1,"""Quit playing coy, . You know very well why. I am here because I owe you. Alas, Winterscales never find themselves in debt for long. Besides, I have never liked"
skarikitus's,1,"""I thank you for the honour of being part of it. My brothers and I were impressed by the determination with which you descended upon the corpse emperor's lackey"
euphonious,1,"""I was granted a vision, and we could not let this chance to deliver a crushing blow to the misbelievers pass us by. Euphonious are the vox-frequencies that car"
half-abraded,1,You can still recognise the von Valancius coat of arms in the half-abraded emblem on the side of the shuttle. Parts of the hull and equipment look as if somethi
ground-based,1,"Drawing upon your patchy knowledge of the xenos, you guess that these monoliths were once part of a mighty transport ship capable of transforming into ground-ba"
orator-like,1,"The vox does not produce sound immediately. The officer who made the recording speaks clearly and confidently but also softly, with a barely perceptible vibrati"
glyph-covered,1,A multitude of blows dented the armour of the horrific Helbrute known as Doomscream until the final axe blow split open his glyph-covered skull.
omni,1,"""The Omni— the Deus Calculus changes ways, comprehends ways..."""
data-nails,1,"Data-nails, corrupted with blood runes, sink deep into the brain of the false Skitarius."
justas,1,...commence a rapid tank assault in accordance with the military doctrine Armoured Wave devised by Lord Militant Justas Quinn.
combat-class,1,"...the use of combat-class servo-skulls coordinated by his personal swarm, call sign , to assist with the tech-sabotage mission."
corvan,1,"Sector: Koronus Expanse Region: Mundus Valancius System Location: Dargonus, palace of the Lord General Militant Material: Extract from the memoirs ""When the Exp"
bloodlusting,1,What happened next would become legend. The Lord Captain at the head of his retinue challenged the bloodlusting heresiarch that had crawled out of the darkness 
whoresons,1,"Whenever we avoided another one of the enemy's traps and ambushes, we would then vox-cast their coordinates to the artillery gunners. While our comrades rained "
chaos-stricken,1,A battle ensued between the cryptopurification viruses and the Chaos-stricken cogitators. Many Tech-Priests lost their lives in the fight against the devious sc
meltas,1,"As per regulations, we waited until the gas cloud allowed minimal visibility, checked our filter masks, blasted the gates with our tanks' meltas, and charged in"
tank-sized,1,"The Explorator Tech-Priests took this grim duty upon themselves, refusing to let the laypeople anywhere near their voidship. The mournful processions of Skitari"
electro-whips,1,"With booming battle cries, we stormed the traitors' positions in a tight formation, raining fire upon the enemy. It was a daunting attack, but the disciplinary "
nigh-impervious,1,"For every thousand shots the ceramite of their armour deflected, a single one hit a vulnerable optical sensor or joint. One by one, the unhallowed giants fell u"
landship,1,"The Word Bearers launched a suicidal counter-attack. They boarded the cruiser and cut a bloody swath to the plasma reactor. In their unbridled malice, the heret"
scriptoriums,1,"Pushing through the ruins of sacred workshops, we looked with awe upon machines that, up until that point, had remained forbidden to the eyes of the laity. Thos"
dire-eyed,1,"The dire-eyed Thorbald volunteered to track down and destroy the vile spawn, but fate had other things in store for him and his brothers — the Space Wolves pack"
patched-up,1,"That was the last time I saw Captain Sawyer. With a figurative bloodied nose from the first assault, as well as actual blood still fresh on his bandages, the ha"
chillingly,1,"The fact, at any rate, is that immediately after the captain's disappearance, we received an order that contained detailed instructions concerning holes in the "
fusil,1,"The Lord Captain was merciful. Each captive was issued a single-shot las fusil and bayonet, whereupon an order was given to take the cruiser at any cost. The de"
mayhemcallers,1,"The best breakthrough point into Manufactorum Sigma-S-13 was Receiving Dock Mu-514, one of the oldest parts of the city whose fortifications and defence systems"
skin-rending,1,"The best breakthrough point into Manufactorum Sigma-S-13 was Receiving Dock Mu-514, one of the oldest parts of the city whose fortifications and defence systems"
arch-viruses,1,"The best breakthrough point into Manufactorum Sigma-S-13 was Receiving Dock Mu-514, one of the oldest parts of the city whose fortifications and defence systems"
land-gnawing,1,"At last, we reached the Machine Cathedral. We saw a yawning lift shaft left behind by a colossal land-gnawing drill that had burrowed for kilometres into the de"
worm-like,1,"The crowd of heretics fall to their knees and hold out their hands to you, pleading for mercy. Their leader, a heretek with worm-like tentacles stirring about i"
battle-comrade,1,"""It doesn't become a noble warrior to bark at his battle-comrade after a good fight. Ulfar Thunderlung has proven that the spirit of the Baleful Howl is alive a"
vox-voices,1,"""Aishara, that conniving spittle, she silenced our vox-voices."" Thorbald tries to revive his caster to no avail. ""By the time we get back to the surface, the In"
porcelain-white,1,"You see no signs of violence on the two women's bodies, but their porcelain-white skin proves without a doubt that they are dead. Their hands are clutched toget"
geminicrats,1,"""The Geminicrats. The twin Magi who joined their minds in their devotion to Mars. I remember. Proponents of the right to create unificates base their defence on"
alogical,1,"""Hope is alogical, brother."""
blasph,1,"""Registering blasph—"""
paradoxicality,1,"The Tech-Priest responds with a faint and enigmatic smile. ""You have found yourself at the centre of a tangle of paradoxicality."""
unificate,1,"""She was me. A phenomenon of flesh divided me into two identical bodies at birth. The Omnissiah's wisdom let me overcome this physiological flaw by braiding the"
chirr,1,"""The shelter has fallen. The Maimed Hunter... comes. Cessation of vital functions inevitable."" Her eyes momentarily roll back, but then a metallic chirr inside "
artefactorium,1,"A pained shadow falls across her face. ""The chapel was attacked. The preservation protocol commanded me to hide within the inner artefactorium and block all out"
scarlet-robed,1,"""Let them celebrate their trifling victory. Little do they know that the Truth has already triumphed, in bringing forth a mighty champion."" Unseen to anyone but"
pre-technology,1,"""Knowledge will not have the capacity to be absolute until the coming of the Omnissiah. We do not know of such pre-technology, but can we claim with certainty t"
wrathgear,1,"""This //command promotion//hierarchy status update// was executed following the //death//decommissioning//deconstruction// of the ship Teeth of the Wrathgear. T"
hjokke,1,"Thorbald takes the measure of you and nods in satisfaction. ""I know the habits of a warrior when I see one. You're no indolent hjokke. Good! I give my approval "
drekkars,1,"""Which is why the cog-priest is so intent on hindering and sabotaging our assault by refusing us forces and landing drekkars. But Thorbald Ironhide won't fight "
putrid-hearted,1,"""We may outnumber the enemy, but ours is a poor warband. All it has is steel kaerls of the Omnissiah and scantly trained serfs from across the Expanse. While ou"
arch-heretic,1,"""Our forces have secured minor footholds on the surface but are unable to deliver an effective blow to the //headquarters//operations centre// of the profaners "
naysaying,1,"""You read hearts like they're inscribed with runes, ."" Thorbald lets out a mocking chuckle. ""'Tis true, my brothers and I grow tired of this cog-priest and his "
silver-tongued,1,"""A glorious fight awaits! Take heed with the silver-tongued traitor, for he is old, sly, and strong. But, by the Allfather, the Wolves will spill rivers of his "
malefictions,1,"""Tread lightly when facing him, young brother. Yes, the beast is mad and hideous, but he is withal mighty, old, and graced with the Archenemy's profane patronag"
vox-caster's,1,[Put down the vox-caster's receiver]
immalleable,1,"""Indeed I was bound. The dancing souls, the Aeldari, rose against me, lured me into a trap, and shackled my spirit with the shape of this weapon. For aeons I re"
worm-ridden,1,"""Will this do?"" Thorbald takes aim and sends a bolt right into the sorcerer's back. ""Hey, you foul-blooded spawn of a worm-ridden womb! We've come to rip your g"
truthspeaker,1,"""You know my name well. I am Uralon the Cruel, Breaker of Misbelievers, Truthspeaker, Triumphator of Faith, Dark Apostle of the blessed Word Bearers Legion. Kne"
triumphator,1,"""You know my name well. I am Uralon the Cruel, Breaker of Misbelievers, Truthspeaker, Triumphator of Faith, Dark Apostle of the blessed Word Bearers Legion. Kne"
mace-heads,1,"His large fists clench into twin mace-heads. ""Her Ladyship Incendia Chorda, in her righteous zeal, doesn't see the atrocities her enforcers commit in the Shadow"
criss-cross,1,"Exhaustion has marked Incendia's features with a criss-cross of lines and deeper furrows. Her cheek is forever twisted in a continuous nervous tic, yet her eyes"
intrepidity,1,"""Your... intrepidity gives me reason to doubt the sufficiency of my evidence. Perhaps I should hold off on delivering the verdict. Briefly."" Her outraged expres"
harbourers,1,"""All of them! Thieves, smugglers, pirates, traitors, heretics, deserters! Abettors, harbourers, cowards, and perjurers! Any who has ever trespassed, any who has"
spinelessness,1,"""The universe is a terrifying place. We are surrounded by the Archenemy's machinations and xenos scum who would deny us our right to exist. The threat is inconc"
profaner's,1,"""Since you, , helped me curb Calligos's... appetites once before, I will invite you to divide his territories with me. Once we have extinguished these roaring f"
astrocartographers,1,"""Astrocartographers will soon have their hands full erasing the name 'Winterscale's Realm' from star maps. The castigating disgrace that will fall upon the dyna"
rushlight,1,"Incendia leans forward and peers into your eyes. Her gaze, like a monk carrying a rushlight, wanders down the corridors of your soul's fortress, checking every "
bare-brained,1,"""Perceiving corruption? What lofty yet paltry hysterics. Your methods, however..."" Marazhai looks Incendia over and lets out a wanton laugh. ""This place is soak"
degrada,1,"Maintaining his phlegmatic composure, Eogunn scribes a note onto his data-slate. ""It is not impossible that my hypothesis concerning the transmission of patholo"
maniacally,1,"""But remember..."" Incendia's eyes flash maniacally. ""None of the rebel leaders are allowed to die before their trial. I forbid you to execute them without my le"
highest-trusted,1,"""Subject's status assessed as Highest-Trusted Ally. In accordance with the mutual support manual, please confirm your readiness to receive a //fee//donation//co"
dark-red,1,"""We won't go bankrupt, Your Lordship. Please accept this small gift from me... and my business partners."" Octaviana hands you an old, and, no doubt, very expens"
flatterfied,1,"""I dare not express how flatterfied I am to hear that! I promise Your Lordship I will take every effort to prove worthy of the great trust extendiated to me! No"
extendiated,1,"""I dare not express how flatterfied I am to hear that! I promise Your Lordship I will take every effort to prove worthy of the great trust extendiated to me! No"
elationed,1,"""The Fellowship of the Void is elationed to have the great and illustratious Rogue Trader's protection. It has tasked me with bringing you these modest gifts th"
illustratious,1,"""The Fellowship of the Void is elationed to have the great and illustratious Rogue Trader's protection. It has tasked me with bringing you these modest gifts th"
defereverence,1,"""The Fellowship of the Void is elationed to have the great and illustratious Rogue Trader's protection. It has tasked me with bringing you these modest gifts th"
greatermost,1,"""The Fellowship of the Void has the greatermost respect for every deal it has ever concluded with Your Lordship. We may not be loyalsome allies today, but we ar"
loyalsome,1,"""The Fellowship of the Void has the greatermost respect for every deal it has ever concluded with Your Lordship. We may not be loyalsome allies today, but we ar"
forwardwise,1,"""The Fellowship of the Void has the greatermost respect for every deal it has ever concluded with Your Lordship. We may not be loyalsome allies today, but we ar"
slow-witted,1,"""We've learned our lessons from recent events. And as for those who haven't learned theirs, I'll see to it that you can personally string up those slow-witted f"
gapped,1,"The priest staggers back, stunned. He opens his mouth... and a tiny, barely visible fly passes between his gapped teeth and disappears in his throat. The preach"
enactor,1,"""Are you openly declaring your intent to move against an enactor of the Emperor's justice? And why should I, her mentor in the faith, help you commit that act o"
elbow-deep,1,"""I did not expect such an excess of scruples from an Interrogator of the Inquisition. You are elbow-deep in blood yourself."""
befittingly,1,"The corners of Calcazar's mouth creep upward. In a befittingly grave tone, he replies, ""I would be loath to trouble our Master with a prayer for such an indulge"
xeno-incursions,1,"""I offer my apologies. I have been slightly preoccupied, attempting as I am to deal with a dozen uprisings and two dozen xeno-incursions, while also trying to c"
sibilek,1,"""Unfortunately, the leaders have failed to find a common language. The esteemed Thorbald is at odds with the conclave of the Mechanicus's battle congregation, a"
ceramite-plated,1,"The warrior of Fenris folds his arms on his ceramite-plated chest regally, and says in a dour voice, ""Greetings, Inquisitor. You and I need to talk."""
unholiness,1,"""You have carried Theodora's unholy legacy, , and you have surpassed her a hundredfold in unholiness. How regrettable. Farewell, and pray to the Emperor that yo"
beastlike,1,"The Space Marine lets out a guttural growl as his face contorts in a beastlike expression. ""I will forgive you this one brazen insult, Rogue Trader. Do not utte"
asuryani's,1,"There is no spite in the look Yrliet gives you in response — only coldness and detachment. She no longer deigns to answer you, for talking to a mon-keigh is a p"
grox-bothering,1,"""I must remind you that I am still Lord Inquisitor of the Koronus Expanse, not merely some — what do you always say, Froscher? — some 'grox-bothering prick.' If"
autoasceticism,1,"""Registering a Sanctity Alpha priority mission. The scourge of corrupted misbelievers reigning over blessed workshops fills the Omnissiah's faithful with anguis"
reattaching,1,"""A Mercatum Tabula Officiale can do many things. Reattaching a head to a body is not one of them."""
jowled,1,"Froscher nods deferentially, and on his aged, jowled face appears an expression caught between eternal loyalty, motherly affection, and religious devotion."
modus,1,"""You dish out death sentences, but you pardon your own murderous confessor? Such double standards are very much in keeping with your predecessor's modus operand"
operandi,1,"""You dish out death sentences, but you pardon your own murderous confessor? Such double standards are very much in keeping with your predecessor's modus operand"
obscura-huffing,1,"""Yes, that's what they say about me. And what they say about you is that you're an obscura-huffing maniac who kills people for sport."""
impetuousness,1,"""That was too lenient a punishment. It will not serve as a lesson to others. Your impetuousness disappoints me, ."""
knoweth,1,"""Emperor's faithful! Our protector was caught in a web of conspiracy! She was lied to! Therefore, let us avenge her and carry on her cause! When thou hast stepp"
banisher,1,"""I see heresy! Who is contemplating a strike against the Emperor's law? Who dares raise a hand against His steward? Ye faithful! Let us fight and die for the pi"
footfallers,1,"The people breathe a sigh of relief and glorify your name loudly. After a period of tribulation and hardship, Footfallers are glad that there will at least be s"
servicity,1,"""Y-Your Lordship! How can I be of... servicity? I'm from Ryzza's crew... her former crew, I suppose, now that she's known the Emperor's peace and all. Anyway, I"
volumpteer,1,"The pirate looks away, embarrassed. ""I drew the short lho joint. After Ryzza went on, you know, her last raid, none of us would volumpteer to replace her on the"
redempt,1,"""We'll give it our all and hold nothing back! We'll join any fight for the righteous cause, to redempt ourselves with hardship and endeaviour! For the Emperor a"
endeaviour,1,"""We'll give it our all and hold nothing back! We'll join any fight for the righteous cause, to redempt ourselves with hardship and endeaviour! For the Emperor a"
r-right,1,"""R-right away! For you, only the best valuables and rarifieties!"""
rarifieties,1,"""R-right away! For you, only the best valuables and rarifieties!"""
non-pirate,1,"""What? No, Your L-Lordship! I— I'm—"" The non-pirate starts to shake. ""I'm an independent merchanteer who sells foffity poppity — I mean forfeited property — to "
merchanteer,1,"""What? No, Your L-Lordship! I— I'm—"" The non-pirate starts to shake. ""I'm an independent merchanteer who sells foffity poppity — I mean forfeited property — to "
foffity,1,"""What? No, Your L-Lordship! I— I'm—"" The non-pirate starts to shake. ""I'm an independent merchanteer who sells foffity poppity — I mean forfeited property — to "
poppity,1,"""What? No, Your L-Lordship! I— I'm—"" The non-pirate starts to shake. ""I'm an independent merchanteer who sells foffity poppity — I mean forfeited property — to "
fiercerous,1,"""We d-do, Your Lordship — but where do we run to? The Expanse is a nightmare of a place right now, what with all the fiercerous xenos and fertrocious heretics a"
fertrocious,1,"""We d-do, Your Lordship — but where do we run to? The Expanse is a nightmare of a place right now, what with all the fiercerous xenos and fertrocious heretics a"
furifying,1,"""We d-do, Your Lordship — but where do we run to? The Expanse is a nightmare of a place right now, what with all the fiercerous xenos and fertrocious heretics a"
p-putting,1,"""We d-do, Your Lordship — but where do we run to? The Expanse is a nightmare of a place right now, what with all the fiercerous xenos and fertrocious heretics a"
merciousness,1,"""We d-do, Your Lordship — but where do we run to? The Expanse is a nightmare of a place right now, what with all the fiercerous xenos and fertrocious heretics a"
p-perish,1,"""P-perish the thought! Ryzza... just went completely insanitary, Your Lordship. Started making dangerous friends and getting into d-deals with some right dodgy-"
insanitary,1,"""P-perish the thought! Ryzza... just went completely insanitary, Your Lordship. Started making dangerous friends and getting into d-deals with some right dodgy-"
d-deals,1,"""P-perish the thought! Ryzza... just went completely insanitary, Your Lordship. Started making dangerous friends and getting into d-deals with some right dodgy-"
dodgy-looking,1,"""P-perish the thought! Ryzza... just went completely insanitary, Your Lordship. Started making dangerous friends and getting into d-deals with some right dodgy-"
nother,1,"""P-perish the thought! Ryzza... just went completely insanitary, Your Lordship. Started making dangerous friends and getting into d-deals with some right dodgy-"
sh-she,1,"""P-perish the thought! Ryzza... just went completely insanitary, Your Lordship. Started making dangerous friends and getting into d-deals with some right dodgy-"
pro-emperor,1,"""Anyway, she had it coming. As soon as me and the boys heard Ryzza's number was up, we sent all her pals for a walk under the stars and slammed the airlock behi"
servitudilance,1,"""I'll be here if you need me, Your L-Lordship! At your servitudilance!"""
unfortunables,1,"""Don't be too harsh on us wretched unfortunables, Your Lordship! We're, you know, victims here too!"""
m-many,1,"""Why, of c-course we'd have given them no quarter back then either! But, you know, Ryzza... She was a horrible woman who kept everyone terrified to their ultram"
atroxities,1,"""Why, of c-course we'd have given them no quarter back then either! But, you know, Ryzza... She was a horrible woman who kept everyone terrified to their ultram"
plate-shaped,1,"The plate-shaped implant lands on the deck with a loud clang. There is a hole in it now, and bits of the pirate's brains are stuck to it. The bar falls silent f"
m-most,1,"The pirate gets up from his knees, huffing and trying to cover the stain on his breeches. ""Of c-course, Your L-Lordship. M-most appropriate. Keep us in pious fe"
corruptuous,1,"The pirate gets up from his knees, huffing and trying to cover the stain on his breeches. ""Of c-course, Your L-Lordship. M-most appropriate. Keep us in pious fe"
extremulously,1,"""It's a pleasure, Your Lordship! We make extremulously short work of heretics!"""
condensention,1,"""M-my mistake, Your Lordship! I beg your gracious condensention! I'm not versed in the languages of nobility, but neither do I wish to offend your gracious ear "
nervacular,1,"""M-my mistake, Your Lordship! I beg your gracious condensention! I'm not versed in the languages of nobility, but neither do I wish to offend your gracious ear "
overacquainted,1,"""P-please! We are overacquainted with the way of things and with the expassing of the most dishonourable Captain Sargona. We would never, never think to encroac"
expassing,1,"""P-please! We are overacquainted with the way of things and with the expassing of the most dishonourable Captain Sargona. We would never, never think to encroac"
xenoses,1,"The pirate falls to his knees. ""M-mercy, Your L-Lordship! We'll do whatever you tell us to do — repent good and proper, and accept any punishment and battle the"
executionise,1,"The pirate falls to his knees. ""M-mercy, Your L-Lordship! We'll do whatever you tell us to do — repent good and proper, and accept any punishment and battle the"
hand-to-hand,1,"The gleaming blade makes a series of lingering flashes on your retinas. You very narrowly dodge the stabs aimed at your eyes and throat, grab hold of the man's "
pain-fearing,1,"Courageous spirit can overcome anything — but weak, pain-fearing flesh can't. When Froscher's nerves begin to snap under your pressure, he blurts out, ""Porta..."
trepanning,1,Marazhai moves with practically imperceptible speed. Froscher only manages to grab the handle of a previously concealed bayonet knife when Marazhai appears befo
p-p-port-ta,1,"After a while, Marazhai casts a bloodied piece of Froscher's skull aside and inserts the blade. The man flinches and starts quietly howling a single note, his m"
sept-t-tentum,1,"After a while, Marazhai casts a bloodied piece of Froscher's skull aside and inserts the blade. The man flinches and starts quietly howling a single note, his m"
d-d-dimensio,1,"After a while, Marazhai casts a bloodied piece of Froscher's skull aside and inserts the blade. The man flinches and starts quietly howling a single note, his m"
g-gate,1,"After a while, Marazhai casts a bloodied piece of Froscher's skull aside and inserts the blade. The man flinches and starts quietly howling a single note, his m"
jury-rigged,1,"Ryzza downs the shot in one gulp and stares gloomily at, or rather through, Octaviana. The jury-rigged augmetic replacing her leg raps nervously on the floor. """
scramming's,1,"""Some captain. If I were you, I'd scram while the scramming's good. I know you're attached to the Amasecus, but this hole isn't worth dying for. I have a shuttl"
behind-the-scenes,1,"""Oh, what the warp, my crew and I will take part in your little uprising. But don't ask me for details. Old Ryzza prefers to keep quiet about the behind-the-sce"
voidswoman,1,"Ryzza smiles dryly. ""That would be regrettable. That said, tracking down an ageing voidswoman in the sprawling Expanse could be quite tricky..."""
world-weary,1,"With an obedient and world-weary expression, Octaviana opens the bottle and pours its yellowish contents on the floor. She states dryly, ""No more orders for rot"
drab-looking,1,"""You know very well where."" Octaviana waves toward a drab-looking door covered by a sheet of metal. ""The sewers are where that rat belongs. You know, he was goi"
norm-conformant,1,"""Information exchange request accepted. Acceptable response found. Hear and heed. The information supplied has been deemed norm-conformant and is acceptable. Th"
request-processing,1,"""Request-processing functionality suspended. Glory to the Omnissiah."""
cutthro,1,"""A small band of my most daring cutthro— staff members who were by my side when I came to power. Business partners who still remember that any venture is only a"
venturer's,1,"""A small band of my most daring cutthro— staff members who were by my side when I came to power. Business partners who still remember that any venture is only a"
rolled-up,1,"The former Liege looks exhausted. His glasses cannot hide the circles under his eyes. His coat collar is greasy and unbuttoned, showing the meshwork of the cera"
stone-faced,1,"""He preaches repentance."" Vladaym remains stone-faced for a few seconds before giving in and letting a sarcastic smile form on his lips. ""Chorda sent him here t"
easy-going,1,"""I will send my least important associates to the entrance to take the brunt of the initial assault. That should thin our guests' numbers."" Without thinking, Vl"
onside,1,"""But he seems taken aback by the scale of Lady Incendia's purges, which opens up possibilities. If we put pressure on him, he'll bring over zealots who'll tear "
bio-fount,1,A bio-fount designed to grow flesh.
warp-affected,1,Several bodies and mechanisms have fused together in a way only warp-affected matter is capable of doing.
unviable,1,"The deformed, feeble, and crazed creature is a pitiful and clearly unviable copy of the Haemonculus Tervantias."
neu,1,"""Neu...rosurgical... stim...ulation of the rear part of the hy...ptham...pothalamus... Required... for what?"""
rosurgical,1,"""Neu...rosurgical... stim...ulation of the rear part of the hy...ptham...pothalamus... Required... for what?"""
stim,1,"""Neu...rosurgical... stim...ulation of the rear part of the hy...ptham...pothalamus... Required... for what?"""
ulation,1,"""Neu...rosurgical... stim...ulation of the rear part of the hy...ptham...pothalamus... Required... for what?"""
ptham,1,"""Neu...rosurgical... stim...ulation of the rear part of the hy...ptham...pothalamus... Required... for what?"""
pothalamus,1,"""Neu...rosurgical... stim...ulation of the rear part of the hy...ptham...pothalamus... Required... for what?"""
dred,1,"""Experiment number four thousand three hun...dred eleven? No... seventeen? What kind of experiment is this?"""
haemonculi's,1,"The monster falls silent. Barely perceptible electrical charges run through the Haemonculi's bodies. Then the one who spoke continues, ""So you're here. Now what"
merous,1,"The data-slate is dented, its screen displaying flickering coloured stripes. The readable parts are twitchy and contain repetitions. ""...merous prior studies pu"
above-mentioned,1,"The data-slate is dented, its screen displaying flickering coloured stripes. The readable parts are twitchy and contain repetitions. ""...merous prior studies pu"
failu,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
bject,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
quireme,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
sical,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
ilure,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
psule,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
rhage,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
interna,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
eeding,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
cimen,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
proc,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
neurally,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
mulated,1,"The notebook contains detailed observations, formulae, and diagrams, and is thickly covered in a viscous greenish liquid. Almost all the pages are firmly glued "
piled-up,1,"Through the piled-up rocks, dirt, and thick dust, you are able to make out parts of fixtures that were ripped out of their sockets and thrown to the floor. Part"
brownish-green,1,"""This world belongs to House Winterscale. But I don't believe... I refuse to believe His Lordship Calligos would ever collaborate with xenos. Dark red and brown"
time-stealer's,1,"The rejuvenation procedure may have restored the body's health, but only to a degree. The time-stealer's tentacles have left their scars."
misspoken,1,"""I... must have misspoken."""
holo-fireplace,1,"""And I do not! A glorious chase must end in a glorious battle, and I like these xenos! I will put the horned one's head above the holo-fireplace, and as for the"
repopulate,1,"The Aeldari shrugs vaguely. ""The mon-keigh are flooding the galaxy at the speed of a meteor shower, and this world will repopulate... eventually. Is a single wo"
impactful,1,"""I will not say a word until you let my kin depart from this world."" The warrior squares his shoulders, but whether out of fatigue or to make his words more imp"
tornsten,1,"""That's Calligos Winterscale's Seneschal, Aerdrig van Tornsten! By the God-Emperor, he was sliced in two with a single blow!"""
asssuryani,1,"""You know nothing, Asssuryani. Your kinssspeople are weak. We may have retreated but they lossst that battle."""
kinssspeople,1,"""You know nothing, Asssuryani. Your kinssspeople are weak. We may have retreated but they lossst that battle."""
lossst,1,"""You know nothing, Asssuryani. Your kinssspeople are weak. We may have retreated but they lossst that battle."""
aendriel,1,"""O Aendriel, Calainaen, and Ytrisha... The mon-keigh will pay for your suffering!"""
calainaen,1,"""O Aendriel, Calainaen, and Ytrisha... The mon-keigh will pay for your suffering!"""
ytrisha,1,"""O Aendriel, Calainaen, and Ytrisha... The mon-keigh will pay for your suffering!"""
ssirtan,1,"""Suffering? Their spirit stones are shattered, Ssirtan, and She Who Thirsts has long finished her feast! We will destroy them. Every mon-keigh who— did you hear"
ssslightest,1,"""Hsss... You don't have the ssslightest idea..."""
mercccenary,1,"""The mercccenary already has a massster."""
massster,1,"""The mercccenary already has a massster."""
sea-foam,1,"""I hoped to find understanding among those who share my Path."" Yrliet's voice trembles with weariness and anger. ""But even the ancestors from Alaitoc, despite a"
shairenkhei's,1,"Shairenkhei's iron will falters under Yrliet's relentless pressure. ""It is... it is too late to change anything. The deed is done. Their will carried out. The O"
outwrought,1,"""With words alone fate cannot be constrained, But deeds add weight behind words' cutting edge. Behold, the cup of strife and vengeance drained, Its bitter wine "
double-headed,1,"The forest hike lasts an entire day. In the golden rays of dusk, the Rogue Trader sees a small hill crowned with an Aquila — a double-headed eagle totem made fr"
florosphere,1,"After a day's journey, the smoke of the smouldering fires has been left far behind. The wind has changed, and with it the forests of Quetza Temer, if only subtl"
fast-flying,1,Part of the forest is obstructed by a thin grey veil emitting barely audible clicks. The translucent curtain ripples and starts moving in the direction of the R
reddish-brown,1,"Halfway through the day, the Rogue Trader discovers a new wonder of Quetza Temer's forests — a spacious stretch of land overgrown with reddish-brown grass cover"
sponge-like,1,"In the shade of the tallest trees in this area of the forest, the Rogue Trader spots mushrooms that come up as high as his waist. Strands of sponge-like tissue "
sacrificium,1,The Children of Quetza Temer: Chronicles An analysis of the canvases made from wood bast fibre showed that the chronicle has been recorded for at least five hun
cerubion,1,A Monograph by Karl Emmanuel Cerubion Dho on the Culture of the Imperium's Far Worlds
dho,1,A Monograph by Karl Emmanuel Cerubion Dho on the Culture of the Imperium's Far Worlds
